Tamaño de paso,X inicial Gradiente,Y inicial Gradiente,X final Gradiente,Y final Gradiente,Valor final Gradiente,Iteraciones Gradiente
0.001,-50,-40,7601273044.929015,3854166.1860699463,1.669226753198077e+39,4
0.001,-50,-30,7601273044.929015,-2.1398356965926006,1.6692267531979668e+39,4
0.001,-50,-20,7601273044.929015,-4.15120176739344,1.6692267531979668e+39,4
0.001,-50,-10,7601273044.929015,-6.576787331754026,1.6692267531979668e+39,4
0.001,-50,0,7601273044.929015,-0.007620639712201877,1.6692267531979668e+39,4
0.001,-50,10,7601273044.929015,6.566092252907126,1.6692267531979668e+39,4
0.001,-50,20,7601273044.929015,4.137550348214795,1.6692267531979668e+39,4
0.001,-50,30,7601273044.929015,2.141278998988117,1.6692267531979668e+39,4
0.001,-50,40,7601273044.929015,-3856200.426050375,1.6692267531980774e+39,4
0.001,-50,50,7601273044.929015,-7602997937.783982,3.339969156457576e+39,4
0.001,-50,60,7601273044.929015,-2109193506256.9722,9.895453598674911e+48,4
0.001,-50,70,7601273044.929015,-200215364060510.25,8.034513947662454e+56,4
0.001,-50,80,-15605.789613869973,1674685.641513624,3.932812075313268e+24,3
0.001,-50,90,-15605.789613869973,5102703.557121582,3.3897787968102884e+26,3
0.001,-50,100,-15605.789613869973,13681498.455277592,1.751881261439452e+28,3
0.001,-40,-100,-1244.5555912439688,-13681390.347680788,1.751825890475797e+28,3
0.001,-40,-90,-1244.5555912439688,-5102647.5426145755,3.389629954897125e+26,3
0.001,-40,-80,-1244.5555912439688,-1674658.989963672,3.9325616988900494e+24,3
0.001,-40,-70,3854166.1860699463,200200705158382.1,8.03216119676164e+56,4
0.001,-40,-60,3854166.1860699463,2108937396507.3953,9.89064823310568e+48,4
0.001,-40,-50,3854166.1860699463,7601273044.929015,1.669226753198077e+39,4
0.001,-40,-40,3854166.1860699463,3854166.1860699463,2.2065905173047314e+26,4
0.001,-40,-30,3854166.1860699463,-2.1398356965926006,1.1032952586523657e+26,4
0.001,-40,-20,3854166.1860699463,-4.15120176739344,1.1032952586523657e+26,4
0.001,-40,-10,3854166.1860699463,-6.576787331754026,1.1032952586523657e+26,4
0.001,-40,0,3854166.1860699463,-0.007620639712201877,1.1032952586523657e+26,4
0.001,-40,10,3854166.1860699463,6.566092252907126,1.1032952586523657e+26,4
0.001,-40,20,3854166.1860699463,4.137550348214795,1.1032952586523657e+26,4
0.001,-40,30,3854166.1860699463,2.141278998988117,1.1032952586523657e+26,4
0.001,-40,40,3854166.1860699463,-3856200.426050375,2.208921651685055e+26,4
0.001,-40,50,3854166.1860699463,-7602997937.783982,1.67074240325972e+39,4
0.001,-40,60,3854166.1860699463,-2109193506256.9722,9.895453597005684e+48,4
0.001,-40,70,3854166.1860699463,-200215364060510.25,8.034513947662454e+56,4
0.001,-40,80,-1244.5555912439688,1674685.641513624,3.9328120456584403e+24,3
0.001,-40,90,-1244.5555912439688,5102703.557121582,3.38977879651374e+26,3
0.001,-40,100,-1244.5555912439688,13681498.455277592,1.7518812614364867e+28,3
0.001,-30,-100,-2.122499441968749,-13681390.347680788,1.7518258904757967e+28,3
0.001,-30,-90,-2.122499441968749,-5102647.5426145755,3.3896299548971134e+26,3
0.001,-30,-80,-2.122499441968749,-1674658.989963672,3.93256169888885e+24,3
0.001,-30,-70,-2.1398356965926006,200200705158382.1,8.03216119676164e+56,4
0.001,-30,-60,-2.1398356965926006,2108937396507.3953,9.89064823310568e+48,4
0.001,-30,-50,-2.1398356965926006,7601273044.929015,1.6692267531979668e+39,4
0.001,-30,-40,-2.1398356965926006,3854166.1860699463,1.1032952586523657e+26,4
0.001,-30,-30,-2.864122383960878,-2.864122383960878,-78.27932288667931,100
0.001,-30,-20,-2.864122383960878,-2.928032126805943,-78.29536395740882,100
0.001,-30,-10,-2.864122383960878,-2.9416896113151987,-78.28032966366393,100
0.001,-30,0,-2.864122383960878,-0.5996323440811666,-43.45057256952079,100
0.001,-30,10,-2.864122383960878,2.8086540775187716,-64.11181433040971,100
